Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
D-,D-,GRD,Business Administration - Accounting/Business Administration,Senior,2022 - spring,1275.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1240.0,0,1,0,1,4.0
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics",Junior,2022 - spring,1371.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1974.0,0,1,0,1,4.0
D+,D+,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,1077.0,0,1,0,0,1.3
A-,A-,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2022 - spring,1230.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Mathematics/Business (Minor),Senior,2022 - spring,1325.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2022 - spring,1947.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1295.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1388.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Anthropology (Minor),Junior,2022 - spring,1078.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2022 - spring,1890.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2022 - spring,1093.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1156.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1510.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1612.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1739.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2022 - spring,1772.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2022 - spring,1793.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1848.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2022 - spring,1873.0,0,1,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1002.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2022 - spring,1530.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1298.0,0,1,0,1,3.7
D+,D+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1579.0,0,1,0,1,1.3
A,A,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1927.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1381.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1806.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1613.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1741.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Legal Studies (Minor),Junior,2022 - spring,1257.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2022 - spring,2042.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1194.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor)/Communication (Minor),Senior,2022 - spring,1366.0,1,0,0,1,3.7
A,A,GRD,Coll Engineering & Applied Sci - Comp Science & Applied Math/Business (Minor)/Informatics (Minor)/,Junior,2022 - spring,1787.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Music (Minor),Junior,2022 - spring,1869.0,0,1,0,1,4.0
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2022 - spring,2031.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1151.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1070.0,0,1,0,1,4.0
B-,B-,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2022 - spring,1360.0,0,1,0,0,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1645.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Theatre (Minor),Junior,2022 - spring,2021.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,2051.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2022 - spring,1988.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1436.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2022 - spring,1724.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Leadership (Minor),Junior,2022 - spring,2057.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1649.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,2022 - spring,1148.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Health,Junior,2022 - spring,1023.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/French (Minor),Junior,2022 - spring,1062.0,0,1,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1652.0,0,1,0,1,3.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Senior,2022 - spring,1658.0,1,0,0,0,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1203.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2022 - spring,1842.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1885.0,0,1,0,1,4.0
D-,D-,GRD,Business Administration - Business Administration,Senior,2022 - spring,1129.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1446.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,2043.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2022 - spring,1113.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1675.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1124.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2022 - spring,1202.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1461.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1108.0,0,1,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1942.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor)/Economics (Minor),Junior,2022 - spring,1178.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1238.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2022 - spring,1913.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1346.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration/Psychology (Minor),Senior,2022 - spring,1304.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1499.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,2071.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1132.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1159.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1109.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1778.0,0,1,0,1,4.0
D,D,GRD,Business Administration - Business Administration/Computer Science (Minor),Senior,2022 - spring,1169.0,1,0,0,1,1.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1179.0,0,1,0,1,3.3
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,1003.0,0,1,0,0,2.0
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1399.0,1,0,0,1,3.3
A,A,GRD,College of Arts and Sciences - Economics/Informatics (Minor)/Japanese Studies (Minor),Senior,2022 - spring,1825.0,1,0,0,0,4.0
D,D,GRD,Business Administration - Business Administration,Senior,2022 - spring,1915.0,1,0,0,1,1.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1342.0,1,0,0,1,4.0
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Senior,2022 - spring,1729.0,1,0,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Senior,2022 - spring,1565.0,1,0,0,1,3.7
D,D,GRD,Intended - Accounting (intended),Junior,2022 - spring,1237.0,0,1,0,0,1.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1931.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1326.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1274.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,2022 - spring,1131.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1276.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Journalism (Minor),Junior,2022 - spring,1665.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1893.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1170.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1406.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Music (Minor),Senior,2022 - spring,1425.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1204.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1273.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1292.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1701.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,2022 - spring,2029.0,0,1,0,1,1.7
A-,A-,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1434.0,0,1,0,0,3.7
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1441.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Digital Forensics/Business (Minor)/Chinese Studies (Minor),Junior,2022 - spring,1556.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2022 - spring,1440.0,0,1,0,1,4.0
A-,A-,GRD,Intended - Accounting (intended),Junior,2022 - spring,1607.0,0,1,0,0,3.7
A-,A-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1707.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1153.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sustainability (Minor),Junior,2022 - spring,2013.0,0,1,0,1,4.0
B,B,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec/Psychology (Minor)",Senior,2022 - spring,1130.0,1,0,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Political Science (Minor),Senior,2022 - spring,1142.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1300.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1024.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor),Junior,2022 - spring,1186.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Sophomore,2022 - spring,1469.0,0,0,1,0,4.0
D-,D-,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1708.0,1,0,0,0,0.7
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1632.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1980.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1012.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Biology (Minor)/Business (Minor),Senior,2022 - spring,1010.0,1,0,0,1,4.0
C,C,GRD,College of Arts and Sciences - Business Economics/Actuarial & Mathematical Sci,Junior,2022 - spring,1495.0,0,1,0,0,2.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1601.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1660.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1061.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1348.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,2022 - spring,1409.0,1,0,0,0,4.0
D+,D+,GRD,Business Administration - Business Administration,Senior,2022 - spring,1524.0,1,0,0,1,1.3
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1925.0,0,1,0,1,3.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,2085.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1596.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1414.0,0,1,0,1,4.0
D+,D+,GRD,Intended - Business Economics (intended),Sophomore,2022 - spring,1429.0,0,0,1,0,1.3
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1814.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1287.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1472.0,0,1,0,1,4.0
C,C,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1996.0,0,1,0,0,2.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1271.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1283.0,0,1,0,1,4.0
